matchId,teamId,queueId,patch,gameDuration,role,championId,win,ally1,ally2,ally3,ally4,enemy1,enemy2,enemy3,enemy4,enemy5
EUW1_7598631699,200,420,15.22,1694,JUNGLE,LeeSin,1,Kayle,Hwei,Draven,Thresh,Garen,Diana,Ryze,Kaisa,Renata
EUW1_7598631699,200,420,15.22,1694,MIDDLE,Hwei,1,Kayle,LeeSin,Draven,Thresh,Garen,Diana,Ryze,Kaisa,Renata
EUW1_7598631699,200,420,15.22,1694,BOTTOM,Draven,1,Kayle,LeeSin,Hwei,Thresh,Garen,Diana,Ryze,Kaisa,Renata
EUW1_7598631699,200,420,15.22,1694,UTILITY,Thresh,1,Kayle,LeeSin,Hwei,Draven,Garen,Diana,Ryze,Kaisa,Renata
EUW1_7598603131,100,420,15.22,1791,TOP,Garen,1,Kayn,Ryze,Yunara,Renata,Sion,XinZhao,Lux,Ziggs,Rakan
EUW1_7598603131,100,420,15.22,1791,JUNGLE,Kayn,1,Garen,Ryze,Yunara,Renata,Sion,XinZhao,Lux,Ziggs,Rakan
EUW1_7598603131,100,420,15.22,1791,MIDDLE,Ryze,1,Garen,Kayn,Yunara,Renata,Sion,XinZhao,Lux,Ziggs,Rakan
EUW1_7598603131,100,420,15.22,1791,BOTTOM,Yunara,1,Garen,Kayn,Ryze,Renata,Sion,XinZhao,Lux,Ziggs,Rakan
EUW1_7598603131,100,420,15.22,1791,UTILITY,Renata,1,Garen,Kayn,Ryze,Yunara,Sion,XinZhao,Lux,Ziggs,Rakan
EUW1_7598603131,200,420,15.22,1791,TOP,Sion,0,XinZhao,Lux,Ziggs,Rakan,Garen,Kayn,Ryze,Yunara,Renata
EUW1_7598603131,200,420,15.22,1791,JUNGLE,XinZhao,0,Sion,Lux,Ziggs,Rakan,Garen,Kayn,Ryze,Yunara,Renata
EUW1_7598603131,200,420,15.22,1791,MIDDLE,Lux,0,Sion,XinZhao,Ziggs,Rakan,Garen,Kayn,Ryze,Yunara,Renata
EUW1_7598603131,200,420,15.22,1791,BOTTOM,Ziggs,0,Sion,XinZhao,Lux,Rakan,Garen,Kayn,Ryze,Yunara,Renata
EUW1_7598603131,200,420,15.22,1791,UTILITY,Rakan,0,Sion,XinZhao,Lux,Ziggs,Garen,Kayn,Ryze,Yunara,Renata
EUW1_7598584071,100,420,15.22,1625,TOP,Chogath,1,Graves,AurelionSol,Ashe,Bard,Garen,Viego,Sylas,Ziggs,Senna
EUW1_7598584071,100,420,15.22,1625,JUNGLE,Graves,1,Chogath,AurelionSol,Ashe,Bard,Garen,Viego,Sylas,Ziggs,Senna
EUW1_7598584071,100,420,15.22,1625,MIDDLE,AurelionSol,1,Chogath,Graves,Ashe,Bard,Garen,Viego,Sylas,Ziggs,Senna
EUW1_7598584071,100,420,15.22,1625,BOTTOM,Ashe,1,Chogath,Graves,AurelionSol,Bard,Garen,Viego,Sylas,Ziggs,Senna
EUW1_7598584071,100,420,15.22,1625,UTILITY,Bard,1,Chogath,Graves,AurelionSol,Ashe,Garen,Viego,Sylas,Ziggs,Senna
EUW1_7598584071,200,420,15.22,1625,TOP,Garen,0,Viego,Sylas,Ziggs,Senna,Chogath,Graves,AurelionSol,Ashe,Bard
EUW1_7598584071,200,420,15.22,1625,JUNGLE,Viego,0,Garen,Sylas,Ziggs,Senna,Chogath,Graves,AurelionSol,Ashe,Bard
EUW1_7598584071,200,420,15.22,1625,MIDDLE,Sylas,0,Garen,Viego,Ziggs,Senna,Chogath,Graves,AurelionSol,Ashe,Bard
EUW1_7598584071,200,420,15.22,1625,BOTTOM,Ziggs,0,Garen,Viego,Sylas,Senna,Chogath,Graves,AurelionSol,Ashe,Bard
EUW1_7598584071,200,420,15.22,1625,UTILITY,Senna,0,Garen,Viego,Sylas,Ziggs,Chogath,Graves,AurelionSol,Ashe,Bard
EUW1_7597885743,100,420,15.22,1503,TOP,Vladimir,1,JarvanIV,Yasuo,Samira,Nautilus,Kayle,Volibear,Zed,Kaisa,Thresh
EUW1_7597885743,100,420,15.22,1503,JUNGLE,JarvanIV,1,Vladimir,Yasuo,Samira,Nautilus,Kayle,Volibear,Zed,Kaisa,Thresh
EUW1_7597885743,100,420,15.22,1503,MIDDLE,Yasuo,1,Vladimir,JarvanIV,Samira,Nautilus,Kayle,Volibear,Zed,Kaisa,Thresh
EUW1_7597885743,100,420,15.22,1503,BOTTOM,Samira,1,Vladimir,JarvanIV,Yasuo,Nautilus,Kayle,Volibear,Zed,Kaisa,Thresh
EUW1_7597885743,100,420,15.22,1503,UTILITY,Nautilus,1,Vladimir,JarvanIV,Yasuo,Samira,Kayle,Volibear,Zed,Kaisa,Thresh
EUW1_7597885743,200,420,15.22,1503,TOP,Kayle,0,Volibear,Zed,Kaisa,Thresh,Vladimir,JarvanIV,Yasuo,Samira,Nautilus
EUW1_7597885743,200,420,15.22,1503,JUNGLE,Volibear,0,Kayle,Zed,Kaisa,Thresh,Vladimir,JarvanIV,Yasuo,Samira,Nautilus
EUW1_7597885743,200,420,15.22,1503,MIDDLE,Zed,0,Kayle,Volibear,Kaisa,Thresh,Vladimir,JarvanIV,Yasuo,Samira,Nautilus
EUW1_7597885743,200,420,15.22,1503,BOTTOM,Kaisa,0,Kayle,Volibear,Zed,Thresh,Vladimir,JarvanIV,Yasuo,Samira,Nautilus
EUW1_7597885743,200,420,15.22,1503,UTILITY,Thresh,0,Kayle,Volibear,Zed,Kaisa,Vladimir,JarvanIV,Yasuo,Samira,Nautilus
EUW1_7597831905,100,420,15.22,1689,TOP,Shen,1,Sylas,Twitch,Sivir,Milio,Garen,Rammus,Orianna,Ezreal,Bard
EUW1_7597831905,100,420,15.22,1689,JUNGLE,Sylas,1,Shen,Twitch,Sivir,Milio,Garen,Rammus,Orianna,Ezreal,Bard
EUW1_7597831905,100,420,15.22,1689,MIDDLE,Twitch,1,Shen,Sylas,Sivir,Milio,Garen,Rammus,Orianna,Ezreal,Bard
EUW1_7597831905,100,420,15.22,1689,BOTTOM,Sivir,1,Shen,Sylas,Twitch,Milio,Garen,Rammus,Orianna,Ezreal,Bard
EUW1_7597831905,100,420,15.22,1689,UTILITY,Milio,1,Shen,Sylas,Twitch,Sivir,Garen,Rammus,Orianna,Ezreal,Bard
EUW1_7597831905,200,420,15.22,1689,TOP,Garen,0,Rammus,Orianna,Ezreal,Bard,Shen,Sylas,Twitch,Sivir,Milio
EUW1_7597831905,200,420,15.22,1689,JUNGLE,Rammus,0,Garen,Orianna,Ezreal,Bard,Shen,Sylas,Twitch,Sivir,Milio
EUW1_7597831905,200,420,15.22,1689,MIDDLE,Orianna,0,Garen,Rammus,Ezreal,Bard,Shen,Sylas,Twitch,Sivir,Milio
EUW1_7597831905,200,420,15.22,1689,BOTTOM,Ezreal,0,Garen,Rammus,Orianna,Bard,Shen,Sylas,Twitch,Sivir,Milio
EUW1_7597831905,200,420,15.22,1689,UTILITY,Bard,0,Garen,Rammus,Orianna,Ezreal,Shen,Sylas,Twitch,Sivir,Milio
EUW1_7597505140,100,420,15.22,1549,TOP,Garen,1,Vi,Ahri,Akshan,Senna,Kled,XinZhao,Vladimir,Corki,Velkoz
EUW1_7597505140,100,420,15.22,1549,JUNGLE,Vi,1,Garen,Ahri,Akshan,Senna,Kled,XinZhao,Vladimir,Corki,Velkoz
EUW1_7597505140,100,420,15.22,1549,MIDDLE,Ahri,1,Garen,Vi,Akshan,Senna,Kled,XinZhao,Vladimir,Corki,Velkoz
EUW1_7597505140,100,420,15.22,1549,BOTTOM,Akshan,1,Garen,Vi,Ahri,Senna,Kled,XinZhao,Vladimir,Corki,Velkoz
EUW1_7597505140,100,420,15.22,1549,UTILITY,Senna,1,Garen,Vi,Ahri,Akshan,Kled,XinZhao,Vladimir,Corki,Velkoz
EUW1_7597505140,200,420,15.22,1549,TOP,Kled,0,XinZhao,Vladimir,Corki,Velkoz,Garen,Vi,Ahri,Akshan,Senna
EUW1_7597505140,200,420,15.22,1549,JUNGLE,XinZhao,0,Kled,Vladimir,Corki,Velkoz,Garen,Vi,Ahri,Akshan,Senna
EUW1_7597505140,200,420,15.22,1549,MIDDLE,Vladimir,0,Kled,XinZhao,Corki,Velkoz,Garen,Vi,Ahri,Akshan,Senna
EUW1_7597505140,200,420,15.22,1549,BOTTOM,Corki,0,Kled,XinZhao,Vladimir,Velkoz,Garen,Vi,Ahri,Akshan,Senna
EUW1_7597505140,200,420,15.22,1549,UTILITY,Velkoz,0,Kled,XinZhao,Vladimir,Corki,Garen,Vi,Ahri,Akshan,Senna
EUW1_7597463476,100,420,15.22,1827,TOP,Ornn,1,Shaco,Orianna,Draven,Rakan,Sion,Hecarim,Mel,Nilah,Morgana
EUW1_7597463476,100,420,15.22,1827,JUNGLE,Shaco,1,Ornn,Orianna,Draven,Rakan,Sion,Hecarim,Mel,Nilah,Morgana
EUW1_7597463476,100,420,15.22,1827,MIDDLE,Orianna,1,Ornn,Shaco,Draven,Rakan,Sion,Hecarim,Mel,Nilah,Morgana
